marker,LSP11387,LSP11691,LSP11315,LSP11347,LSP11643,LSP11419,LSP11403,LSP11483,LSP11411,LSP11355,LSP11395,LSP11595,LSP11747,LSP11587,LSP11627,LSP11467,LSP12422,LSP11563,LSP11667,LSP11515,LSP11523,LSP11339,LSP11331
DNA1,7.647482191,7.647482191,7.647482191,7.647482191,7.647482191,7.647482191,7.647482191,7.647482191,7.647482191,7.647482191,7.647482191,7.647482191,7.647482191,7.647482191,7.647482191,7.647482191,7.647482191,7.647482191,7.647482191,7.647482191,7.647482191,7.647482191,7.647482191
MART1,6,7.6,6.5,6,7,6.5,7,6.5,6.5,6.5,6,6,6,7.5,6.5,6,6.5,6,6,6,6,6,8
CD207,8.2,8.2,8.2,8.1,8,7.5,8.4,7.5,8.2,8.1,8.3,8.2,8.2,8.2,8.2,8,8.2,8.2,8.2,9,7.7,7.7,8.2
SOX10,7.8,8,8.3,8.2,7.7,8.3,8.4,7.8,7.7,7.5,8,8.4,8,8.4,8,9.5,8,8.5,8.3,7.8,7.8,7.5,8.5
DNA2,8.24810709,8.24810709,8.24810709,8.24810709,8.24810709,8.24810709,8.24810709,8.24810709,8.24810709,8.24810709,8.24810709,8.24810709,8.24810709,8.24810709,8.24810709,8.24810709,8.24810709,8.24810709,8.24810709,8.24810709,8.24810709,8.24810709,8.24810709
GZMB,6.08092901,6.08092901,6.08092901,6.08092901,9,6.08092901,6.08092901,7.7,6.08092901,6.08092901,6.08092901,6.08092901,6.08092901,6.08092901,6.08092901,8.536642815,6.08092901,6.08092901,8,8.5,8.117251136,8.008192557,6.08092901
CD163,6.8,6.7,7.4,6.8,6.4,6.7,7,6.4,6.6,6.3,6.9,6.5,6.7,6.7,6.7,6.7,6.7,6.7,6.6,7.5,7,6.4,7
CD1c,8.3,8.2,8.9,8.4,8.5,8.8,8.8,8.6,8.7,8.7,8.7,8.7,8.6,8.7,8.5,8.9,8.6,8.2,8.6,9.1,8.8,8.5,8.9
KRT14,6.9,7.6,6.8,7.3,7,6.9,6.9,6.9,7.6,7.3,7.3,7,7.6,7.6,7.6,6.9,6.5,7.6,7,6.5,6.9,7.3,6.9
DNA3,7.983888152,7.983888152,7.983888152,7.983888152,7.983888152,7.983888152,7.983888152,7.983888152,7.983888152,7.983888152,7.983888152,7.983888152,7.983888152,7.983888152,7.983888152,7.983888152,7.983888152,7.983888152,7.983888152,7.983888152,7.983888152,7.983888152,7.983888152
CD3e,6.8,7.2,7.2,7.5,7.1,7,7.2,7,7,6.7,6.7,6.7,7.1,7,7.2,7,7.2,6.9,7.4,6.9,6.9,6.9,7.2
CD11c,7,8,8.5,8.5,7.6,7.5,8.2,7.9,8,8.5,8.3,8,7.5,8,8.5,8,7.8,7.5,8.2,7.5,7.7,9,8
CD8a,7.5,8.5,8.2,8,8,8.4,8.6,8,8.2,7.7,7.7,8,8,7.8,8.2,8.6,8.3,7.9,8.7,7.5,7.9,7.9,8.4
aSMA,6.3,6.5,6.5,6.4,6.7,6.7,6.5,5.9,6.5,6.4,6.4,6.5,6.5,6.5,6.5,7,6.6,6.1,6,6,6,6,6.5
DNA4,7.589062024,7.589062024,7.589062024,7.589062024,7.589062024,7.589062024,7.589062024,7.589062024,7.589062024,7.589062024,7.589062024,7.589062024,7.589062024,7.589062024,7.589062024,7.589062024,7.589062024,7.589062024,7.589062024,7.589062024,7.589062024,7.589062024,7.589062024
CD20,7.3,7.3,7.3,7.7,8,7.3,7.9,7.3,7.5,7.5,7.5,7.3,7.5,7.3,7.5,7.4,8,7.5,7.4,7.3,7.2,7.6,7.3
CD68,6.3,6.25,6.3,6.25,7,6,6,6,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.5,6.25,6.25,6.25,6.6,6.6,6.25,6.4
PDL1,6.9,6.95,6.95,6.8,6.95,6.92,6.85,7,6.8,6.9,7,6.88,6.75,6.65,6.95,6.6,6.8,6.95,6.85,6.95,6.45,6.4,7
DNA5,7.476805856,7.476805856,7.476805856,7.476805856,7.476805856,7.476805856,7.476805856,7.476805856,7.476805856,7.476805856,7.476805856,7.476805856,7.476805856,7.476805856,7.476805856,7.476805856,7.476805856,7.476805856,7.476805856,7.476805856,7.476805856,7.476805856,7.476805856
MITF,7.3,7,6.5,7.3,7.2,7.2,7.4,7.2,7.1,7,7.1,6.9,7.2,7,7,7.3,7.2,6.6,6.9,7,6.7,6.8,7.4
FOXP3,6.8,7,6.8,7,6.6,6.8,6.8,6.5,7,7,7,6.3,6.8,7,7,6.8,7,7,7,6.5,6.3,6.424164297,6.8
PD1,7.4,7.2,7.5,7.6,7.6,7.4,7.4,7.8,7.4,7.4,7.6,7.2,7.6,7.4,7.4,7.5,7.9,7.2,7,7.2,6.8,7.053682636,7.5
panCK,7,7.2,7,6.3,7,7,7,7,7.2,6.3,6.3,6,7.2,7.2,7.2,7,6.8,7.2,6.5,6.5,6.9,6.3,7
DNA6,3.11438414,3.11438414,3.11438414,3.11438414,3.11438414,3.11438414,3.11438414,3.11438414,3.11438414,3.11438414,3.11438414,3.11438414,3.11438414,3.11438414,3.11438414,3.11438414,3.11438414,3.11438414,3.11438414,3.11438414,3.11438414,3.11438414,3.11438414
CD16,7.3,7.2,7.3,7,7.1,7.7,7.5,7.4,7.4,7,7.4,7.6,7.2,7.9,7,7.2,7.2,7.2,7.3,7.6,6.8,7,7.4
CD206,8,7.2,8.3,7.6,7.5,7.7,8,7.4,7.4,7.4,7.4,7.2,7.5,7.458056526,7.5,7.9,7.8,7.2,8,7.8,7,7.6,8.3
CD31,7.3,7.35,7.2,7.4,7.5,7.5,7.5,7.5,7,7,7,7,7,7,7.5,7.8,7.1,7,7.6,7.5,7.5,7,7
Vim,7.5,7.7,7.5,7.7,0,7.5,7.5,7.5,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.5,8.9,7.7,8.1,7.5,7.5,7.7,7.5
DNA7,3.259202937,3.259202937,3.259202937,3.259202937,3.259202937,3.259202937,3.259202937,3.259202937,3.259202937,3.259202937,3.259202937,3.259202937,3.259202937,3.259202937,3.259202937,3.259202937,3.259202937,3.259202937,3.259202937,3.259202937,3.259202937,3.259202937,3.259202937
S100A,8.9,8.7,8.8,9.4,9,8.5,9.7,8.5,8.5,9,8.5,8.7,8.7,8.5,8.7,8,9,8.7,9,8.5,8.5,8.3,9.6
LAG3,6.5,6.9,6.3,6.9,8,6.4,7,6.5,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.3,6.9,6.9,6.9,6.5,6.5,6.9,6.5
CD56,7.5,8,6.9,8,9,7.15,7.15,7,8,8,8,8,8,8,8,8.663932309,8,8,8,7,7,8,6.9
pS6,5.8,6,5.8,5.7,5.5,6.4,6.4,6.5,6,5.7,5.5,5.7,6,6,5.3,6,6.5,6,5.6,6,5.4,5.1,5.8
DNA8,1.382802848,1.382802848,1.382802848,1.382802848,1.382802848,1.382802848,1.382802848,1.382802848,1.382802848,1.382802848,1.382802848,1.382802848,1.382802848,1.382802848,1.382802848,1.382802848,1.382802848,1.382802848,1.382802848,1.382802848,1.382802848,1.382802848,1.382802848
HLA-A/B,7,7.5,6.8,7.2,7.1,7,7,7,7.1,7.2,7.1,6.9,6.8,7.1,7,7,7.5,7.5,6.6,6.8,6.7,7.2,7.1
SOX9,6.8,6.5,6.6,6.5,7.1,6.5,6.8,6.85,6.5,6.5,6.5,6.5,9,6.5,7,8,7,6.5,8,6.85,6.85,6.5,6.9
HLA-DPB1,7.4,6.8,7.5,6.8,6.6,6.5,7.4,7.9,6.8,6.8,6.8,6.8,6.8,6.8,6.8,7.5,6.9,6.8,6.8,7,7,6.8,7.4
PCNA,6,6.1,6,6,6,5.7,5.9,6,5.6,5.9,6,5.7,6,6,5.7,5.5,6,5.6,6,5.7,5.7,6,5.6
DNA9,1.42640814,1.42640814,1.42640814,1.42640814,1.42640814,1.42640814,1.42640814,1.42640814,1.42640814,1.42640814,1.42640814,1.42640814,1.42640814,1.42640814,1.42640814,1.42640814,1.42640814,1.42640814,1.42640814,1.42640814,1.42640814,1.42640814,1.42640814
CD14,7.2,7.2,7.2,6.6,6.7,7.2,7.2,7,7,6.6,7,6.9,7.2,7,7.3,7,7.5,7.2,7.2,7,7,6.6,7
CD66b,6.5,7,7,7,10,6.5,6.5,6.5,7,7,7,7,7,7,7,6.5,7,7,7,6.5,6.5,7,8.5
CD45,6.694840788,5.038908244,5.038908244,5.038908244,8.5,6.694840788,6.694840788,6.5,5.038908244,5.038908244,5.038908244,5.038908244,5.038908244,5.038908244,5.038908244,8,7,5.038908244,5.038908244,6.5,6,5.038908244,5.038908244
pH3,5.5,7.5,7.5,7.5,9,5.2,5.2,5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,5,7.5,7.5,7.8,9,9,7.5,6
DNA10,2.361229619,2.361229619,2.361229619,2.361229619,2.361229619,2.361229619,2.361229619,2.361229619,2.361229619,2.361229619,2.361229619,2.361229619,2.361229619,2.361229619,2.361229619,2.361229619,2.361229619,2.361229619,2.361229619,2.361229619,2.361229619,2.361229619,2.361229619
LMNB2,7,7,7,7,7.3,7,7,7.3,7,7,7,7,7,7,7,7.3,7.6,7,7,7.3,7.3,7,7.5
Nestin,6.4,6.4,6.4,7,6.7,6.7,6.45,6.5,6.3,7,6.3,6.3,6.4,6.3,6.4,6.5,7,6.4,6.2,9,6.846168587,7,6.4
H3K27Me3,8,7.9,7.9,7.9,8,8,8,8.5,7.9,7.9,7.9,7.9,7.9,7.9,7.9,8,8.5,7.9,8.8,8.5,8.5,7.9,7.9
DNA11,2.068038275,2.068038275,2.068038275,2.068038275,2.068038275,2.068038275,2.068038275,2.068038275,2.068038275,2.068038275,2.068038275,2.068038275,2.068038275,2.068038275,2.068038275,2.068038275,2.068038275,2.068038275,2.068038275,2.068038275,2.068038275,2.068038275,2.068038275
PRAME,7.4,6.9,7,6.9,7,7.15,7.2,7.2,7,6.8,7.1,7,7,6.7,7,7.574176735,7.7,6.9,7,8,8,6.9,7
TIGIT,5.95,5.8,5.8,5.8,7,5.6,5.9,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.6,5.8,5.8,5.8,7,5.2,5.8,5.8
TIM3,7.2,6.8,6.5,7,6.8,7,7,7,6.6,6.9,6.8,6.6,6.5,6.6,7,7,6.8,6.8,7,7,7,7.1,7
DNA12,2.24837513,2.24837513,2.24837513,2.24837513,2.24837513,2.24837513,2.24837513,2.24837513,2.24837513,2.24837513,2.24837513,2.24837513,2.24837513,2.24837513,2.24837513,2.24837513,2.24837513,2.24837513,2.24837513,2.24837513,2.24837513,2.24837513,2.24837513
CD57,8.322783191,8.322783191,8.322783191,8.322783191,9,8.322783191,8.322783191,8.247495446,8.322783191,8.322783191,8.322783191,8.322783191,8.322783191,8.322783191,8.322783191,8.322783191,7.538395269,8.322783191,8.322783191,7.635494109,7.153151047,8.322783191,8.322783191
cPARP,6,6,6,6,9,6,6,7,6,6,6,6,6,6,6,6.5,6,6,6,6.750462977,6.750462977,6,6
Ki67_1,6.276989337,6.276989337,6.276989337,6.276989337,6.276989337,6.276989337,6.276989337,6.276989337,6.276989337,6.276989337,6.276989337,6.276989337,6.276989337,6.276989337,6.276989337,6.276989337,6.276989337,6.276989337,6.276989337,6.276989337,6.276989337,6.276989337,6.276989337
DNA13,1.975468951,1.975468951,1.975468951,1.975468951,1.975468951,1.975468951,1.975468951,1.975468951,1.975468951,1.975468951,1.975468951,1.975468951,1.975468951,1.975468951,1.975468951,1.975468951,1.975468951,1.975468951,1.975468951,1.975468951,1.975468951,1.975468951,1.975468951
CD4,7.7,6.5,6.8,8.1,6.7,7.3,7.4,7.1,7.2,7,7.2,7.3,6.8,7.2,7.3,7.2,7.3,7,6.8,8,6.5,7.2,7
Ki67_2,5.6,6.4,5.4,6.2,6,6,6.5,6.3,6.4,6.4,5.4,6.4,6.4,6.2,6.4,6,6,5.4,5.8,6,6.5,5.4,6
IRF1,6.8,6.6,6.5,6.8,6.15,6.7,6.3,6.5,6.5,6.5,6.8,6.5,6.5,6.7,6.8,6.6,6.6,6.5,6.75,6.5,6.3,6.3,6.3
