channel,LSP11314,LSP11330,LSP11349,LSP11354,LSP11373,LSP11402,LSP11410,LSP11450,LSP11474,LSP11482,LSP11490,LSP11498,LSP11522,LSP11530,LSP11562,LSP12424,LSP11618,LSP11634,LSP11642,LSP11658,LSP11698,LSP11706,LSP11754,LSP11778,LSP11786,LSP17170,LSP11418
Area,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,59
DNA1,7.052814697,7.052814697,7.052814697,7.052814697,7.052814697,7.052814697,7.052814697,7.052814697,7.052814697,7.052814697,7.052814697,7.052814697,7.052814697,7.052814697,7.052814697,7.052814697,7.052814697,7.052814697,7.052814697,7.052814697,7.052814697,7.052814697,7.052814697,7.052814697,7.052814697,7.052814697,7.164556811
5hmC,6.85,6.9,6.99,6.8,7.4,6.8,7,7.4,7.8,6.8,7,7.1,7.7,7.35,6.5,7.5,7.2,7,6.95,7.3,7,7.5,7.1,7.5,7,6.5,3.857250157
Tet2,6.8,7,7.2,7,7.7,6.8,7.6,8.3,8,7,7.4,7.5,7.9,7.5,6.6,7.7,7.4,7.4,7.2,7.3,7.3,7.7,7.1,7.6,7.6,6.5,8.3
SOX10,8.1,8.1,8.2,8,8.2,8.1,8,8.6,8.5,8.1,8,8.2,8.2,8,7.9,8.6,8.5,8,7.8,7.8,7.8,8.2,8.2,8.2,7.8,7,8
DNA2,3.503326877,3.503326877,3.503326877,3.503326877,3.503326877,3.503326877,3.503326877,3.503326877,3.503326877,3.503326877,3.503326877,3.503326877,3.503326877,3.503326877,3.503326877,3.503326877,3.503326877,3.503326877,3.503326877,3.503326877,3.503326877,3.503326877,3.503326877,3.503326877,3.503326877,3.503326877,2.691191876
LaminA/C/B1,6,7.6,7.5,7.6,7.7,7.6,7,7.7,7.6,7.6,7.7,7.8,7.6,7.6,7.6,7.6,7,7.6,7.7,7.8,7.7,7.6,7.6,7.7,7.7,7.7,7
GATA3,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,3.364806661
PMEL,5.5,6,6.5,7.2,6.1,7.3,6.3,6.4,6,6,7.2,6,6,6,7.2,6,5.7,6,7.8,6.4,6.4,7.2,7.3,7.7,5.6,6.9,7
DNA3,3.398556007,3.398556007,3.398556007,3.398556007,3.398556007,3.398556007,3.398556007,3.398556007,3.398556007,3.398556007,3.398556007,3.398556007,3.398556007,3.398556007,3.398556007,3.398556007,3.398556007,3.398556007,3.398556007,3.398556007,3.398556007,3.398556007,3.398556007,3.398556007,3.398556007,3.398556007,0
SOX9,7.6,7.2,6.7,7.1,7.4,7.3,7.15,7.3,7.3,7.2,7.4,7.75,7.5,7.15,7.1,7.4,7.2,7.2,7.3,7.1,7.3,7.4,7.3,7.3,7.3,7.1,7.7
S100B,7.7,6.2,7.5,7,7.6,8,6.4,7,6.2,6,6.5,6.8,6.7,6.6,6.35,7.6,6.5,6.5,7.5,7.3,7.3,6.5,6.5,6.5,7.3,10,8.4
MART1,6,6,5.6,7,6.6,6.7,5.8,6,6,6,7.5,6,6,6,6,6,6.5,6,6,6.8,6.4,7,7,7,6,7.7,7.5
aSMA,5,5,6,5.5,5.5,5.4,5.3,5.5,5.2,5.5,5,4.9,5.5,5.9,5.2,5.5,5,5.5,5.6,5.3,5.5,5.5,5.5,5,6,6,5.5
DNA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.553690268
MITF,6.7,6.75,6.7,6.5,6.5,7,6.8,6.8,6.6,6.5,6.6,6.45,6.8,7,6.7,6.9,6.7,6.5,7,6.8,6.5,6.5,6.8,6.8,6.5,7.4,3.156522497
CD63,6.5,5.8,5.9,5.5,5.9,5.7,5.7,5.7,5.8,5.95,5.8,6.4,5.8,5.7,5.8,6.7,6,5.8,6.3,6,6,5.8,5.8,5.8,5.5,7,6.2
p21,7.1,6.7,7.05,6.9,6.9,7.1,7.1,7,6.9,6.75,6.8,6.8,7.2,6.9,6.7,7,6.9,6.9,7.1,7,7.7,7.4,7.4,7,7,7,7
panCK,5.5,5.4,5.5,5.4,5.4,5.4,5,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,6,5.2,5.5,5.4,5.4,5.4,5.4,5.8,5.2
DNA5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECAD,7,7,6.8,7.1,6.9,6.7,6.5,7.1,7.1,7.1,7.1,7.1,7.1,7.1,6.9,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,6.2,7.5
pSTAT1,6.3,6.6,7.6,6.8,6.8,6.6,6.9,6.5,7.3,6.3,6.45,6.2,6.6,6.6,6.6,6.3,6.5,6.45,6.8,6.8,6.6,6.4,6.4,6.4,6.8,6.8,6.5
MCM2,7.2,7.5,7.6,7.2,7.2,7.3,7.5,7.5,7.3,7.5,7.6,7.2,7,7.3,7.2,7.7,7.5,7.5,6.7,7.2,7.3,7.65,7.65,7.5,7.2,7.2,7.1
S100A1,5.7,6,6.7,6,6,6.8,6.5,6,6.792939567,8,8,8,6,8,6.4,5.5,5.5,8,6.4,5.8,6.8,6.8,6.8,6.2,5.8,7.5,5.5
