Marker,LSP13078,LSP13102,LSP13179,LSP15129,LSP13186,LSP15138,LSP15156,LSP15219,LSP15210,LSP15120,LSP15183,LSP15192,LSP15201
5hmc,8.5,8.5,,,,,,,,,,8.3,
Langerin,0,0,,,,,,,,,,,
SOX10,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.7
GZMB,0,0,,,,,,,,,,,
CD3E,6.2,6,6.2,5.4,6,6,6,6,6,6.2,6.2,5.9,6.2
CD1c,7.7,8,8,8,8,8,8,8,8,8,8,8,8
CK14,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2
CD8a,6.9,6.9,6.9,6.2,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,7.5
FOXP3,6.2,6.3,6.3,6.3,6,6,6.1,6.3,6.3,6.2,6.3,6,6.7
MART1,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,6.8,7.6
aSMA,,,,,,,,,,,,,
CD163,6.2,6.4,6.4,6.2,6.2,6.2,6.2,6.8,6.4,6.6,6.8,6.2,6.8
Ki67,6,6,6.4,6,6,6,6.4,6.4,6.4,6.4,6,6,6.4
PD1,6.7,7.2,6.7,6.7,6.7,7.2,7.2,7.2,7,7.2,7.2,7.2,7.2
pH3,7.4,7.4,7.2,7.2,7.1,7.1,7.2,7.4,7.4,7.4,7.4,7.4,7.4
CD20,6.7,7,7,7,7,7,7,7,7.3,7,7,7,7
CD11c,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.7,6.3,6.4,6.4,6.4,6.4
PDL1,6.9,6.9,6.9,7,6.9,6.9,6.9,6.9,7,6.9,6.8,6.9,6.9
PCNA,5.6,0,,,,,,,,,,5.6,
SOX9,7,7,7,7,7,7,7,7,7,7,7,7,7
LAG3,5.4,5.5,5.6,5.6,5.6,5.6,5.6,5.9,5.9,5.9,5.9,5.9,5.9
NGFR,8,7,7,7,7.7,6.2,6.6,6.2,6.2,6.2,6.2,7.2,7
B2M,6.8,5.5,,,,,,,,,,6.8,
CD4,6.3,6.5,6.6,6.3,6.4,6.3,6.3,6.7,6.7,6.7,6.6,6.7,6.7
CD206,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.9,6.7,6.1,6.1,6.1,6.1
CD16,0,0,,,,,,,,,,,
S100A1,6,6,6,6.7,6,6,6.5,6.5,6.5,6.5,6.5,6,6.5
MITF,6.7,6.7,6.5,6.7,6.7,6.7,6.6,6.6,6.5,6.3,6.5,6.3,6.5
CD66b,0,0,,,,,,,,,,,
CD31,0,0,,,,,,,,,,,excluded
HLA/ABC,0,0,,,,,,,,,,,
LaminB1,0,0,,,,,,,,,,,
CDKN1A,0,0,,,,,,,,,,,
TIM3,0,7.4,7.4,7.4,7.4,7.4,7.4,7,7.9,7.4,7.4,7.4,7.4
panCK,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
DNA10,7.2,7.2,6.2,6.2,7.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2
PRAME,7,0,,7,7,,6.6,,7,,7,7,
CD19,0,0,,,,,,,,,,,
L1CAM,7,0,,,,,,,,,,6.7,
VIM,0,0,,,,,,,,,,,
